question_id,db_id,question
0,department_management,How many heads of the departments are older than 56 ?
1,department_management,"List the name, born state and age of the heads of departments ordered by age."
2,department_management,"List the creation year, name and budget of each department."
3,department_management,What are the maximum and minimum budget of the departments?
4,department_management,What is the average number of employees of the departments whose rank is between 10 and 15?
5,department_management,What are the names of the heads who are born outside the California state?
6,department_management,What are the distinct creation years of the departments managed by a secretary born in state 'Alabama'?
7,department_management,What are the names of the states where at least 3 heads were born?
8,department_management,In which year were most departments established?
9,department_management,Show the name and number of employees for the departments managed by heads whose temporary acting value is 'Yes'?
10,department_management,How many acting statuses are there?
11,department_management,How many departments are led by heads who are not mentioned?
12,department_management,What are the distinct ages of the heads who are acting?
13,department_management,List the states where both the secretary of 'Treasury' department and the secretary of 'Homeland Security' were born.
14,department_management,"Which department has more than 1 head at a time? List the id, name and the number of heads."
15,department_management,Which head's name has the substring 'Ha'? List the id and name.
16,farm,How many farms are there?
17,farm,Count the number of farms.
18,farm,List the total number of horses on farms in ascending order.
19,farm,"What is the total horses record for each farm, sorted ascending?"
20,farm,"What are the hosts of competitions whose theme is not ""Aliens""?"
21,farm,Return the hosts of competitions for which the theme is not Aliens?
22,farm,What are the themes of farm competitions sorted by year in ascending order?
23,farm,"Return the themes of farm competitions, sorted by year ascending."
24,farm,What is the average number of working horses of farms with more than 5000 total number of horses?
25,farm,Give the average number of working horses on farms with more than 5000 total horses.
26,farm,What are the maximum and minimum number of cows across all farms.
27,farm,Return the maximum and minimum number of cows across all farms.
28,farm,How many different statuses do cities have?
29,farm,Count the number of different statuses.
30,farm,List official names of cities in descending order of population.
31,farm,"What are the official names of cities, ordered descending by population?"
32,farm,List the official name and status of the city with the largest population.
33,farm,What is the official name and status of the city with the most residents?
34,farm,Show the years and the official names of the host cities of competitions.
35,farm,Give the years and official names of the cities of each competition.
36,farm,Show the official names of the cities that have hosted more than one competition.
37,farm,What are the official names of cities that have hosted more than one competition?
38,farm,Show the status of the city that has hosted the greatest number of competitions.
39,farm,What is the status of the city that has hosted the most competitions?
40,farm,Please show the themes of competitions with host cities having populations larger than 1000.
41,farm,What are the themes of competitions that have corresponding host cities with more than 1000 residents?
42,farm,Please show the different statuses of cities and the average population of cities with each status.
43,farm,What are the statuses and average populations of each city?
44,farm,"Please show the different statuses, ordered by the number of cities that have each."
45,farm,"Return the different statuses of cities, ascending by frequency."
46,farm,List the most common type of Status across cities.
47,farm,What is the most common status across all cities?
48,farm,List the official names of cities that have not held any competition.
49,farm,What are the official names of cities that have not hosted a farm competition?
50,farm,Show the status shared by cities with population bigger than 1500 and smaller than 500.
51,farm,Which statuses correspond to both cities that have a population over 1500 and cities that have a population lower than 500?
52,farm,Find the official names of cities with population bigger than 1500 or smaller than 500.
53,farm,What are the official names of cities that have population over 1500 or less than 500?
54,farm,"Show the census ranking of cities whose status are not ""Village""."
55,farm,"What are the census rankings of cities that do not have the status ""Village""?"
56,student_assessment,which course has most number of registered students?
57,student_assessment,What is the name of the course with the most registered students?
58,student_assessment,what is id of students who registered some courses but the least number of courses in these students?
59,student_assessment,What are the ids of the students who registered for some courses but had the least number of courses for all students?
60,student_assessment,what are the first name and last name of all candidates?
61,student_assessment,What are the first and last names of all the candidates?
62,student_assessment,List the id of students who never attends courses?
63,student_assessment,What are the  ids of every student who has never attended a course?
64,student_assessment,List the id of students who attended some courses?
65,student_assessment,What are the ids of all students who have attended at least one course?
66,student_assessment,What are the ids of all students for courses and what are the names of those courses?
67,student_assessment,What is detail of the student who most recently registered course?
68,student_assessment,What details do we have on the students who registered for courses most recently?
69,student_assessment,How many students attend course English?
70,student_assessment,How many students are attending English courses?
71,student_assessment,How many courses do the student whose id is 171 attend?
72,student_assessment,How many courses does the student with id 171 actually attend?
73,student_assessment,Find id of the candidate whose email is stanley.monahan@example.org?
74,student_assessment,What is the id of the candidate whose email is stanley.monahan@example.org?
75,student_assessment,Find id of the candidate who most recently accessed the course?
76,student_assessment,What is the id of the candidate who most recently accessed the course?
77,student_assessment,What is detail of the student who registered the most number of courses?
78,student_assessment,What are the details of the student who registered for the most number of courses?
79,student_assessment,List the id of students who registered some courses and the number of their registered courses?
80,student_assessment,"For every student who is registered for some course, how many courses are they registered for?"
81,student_assessment,How many registed students do each course have? List course name and the number of their registered students?
82,student_assessment,"For each course id, how many students are registered and what are the course names?"
83,student_assessment,"Find id of candidates whose assessment code is ""Pass""?"
84,student_assessment,What are the ids of the candidates that have an outcome code of Pass?
85,student_assessment,"Find the cell mobile number of the candidates whose assessment code is ""Fail""?"
86,student_assessment,"What are the cell phone numbers of the candidates that received an assessment code of ""Fail""?"
87,student_assessment,What are the id of students who registered course 301?
88,student_assessment,What are the ids of the students who registered for course 301?
89,student_assessment,What is the id of the student who most recently registered course 301?
90,student_assessment,What are the ids of the students who registered for course 301 most recently?
91,student_assessment,Find distinct cities of addresses of people?
92,student_assessment,What are the different cities where people live?
93,student_assessment,Find distinct cities of address of students?
94,student_assessment,What are the different cities where students live?
95,student_assessment,List the names of courses in alphabetical order?
96,student_assessment,What are the names of the courses in alphabetical order?
97,student_assessment,List the first names of people in alphabetical order?
98,student_assessment,What are the first names of the people in alphabetical order?
99,student_assessment,What are the id of students who registered courses or attended courses?
100,student_assessment,What are the ids of the students who either registered or attended a course?
101,student_assessment,Find the id of courses which are registered or attended by student whose id is 121?
102,student_assessment,What are the ids of the courses that are registered or attended by the student whose id is 121?
103,student_assessment,What are all info of students who registered courses but not attended courses?
104,student_assessment,What are all details of the students who registered but did not attend any course?
105,student_assessment,List the id of students who registered course statistics in the order of registration date.
106,student_assessment,What are the ids of the students who registered course statistics by order of registration date?
107,student_assessment,List the id of students who attended  statistics courses in the order of attendance date.
108,student_assessment,What are the ids of the students who attended courses in the statistics department in order of attendance date.
109,bike_1,Give me the dates when the max temperature was higher than 85.
110,bike_1,What are the dates with a maximum temperature higher than 85?
111,bike_1,What are the names of stations that have latitude lower than 37.5?
112,bike_1,What are the names of all stations with a latitude smaller than 37.5?
113,bike_1,"For each city, return the highest latitude among its stations."
114,bike_1,"For each city, what is the highest latitude for its stations?"
115,bike_1,Give me the start station and end station for the trips with the three oldest id.
116,bike_1,What is the station station and end station for the trips with the three smallest ids?
117,bike_1,What is the average latitude and longitude of stations located in San Jose city?
118,bike_1,What is the average latitude and longitude in San Jose?
119,bike_1,What is the id of the trip that has the shortest duration?
120,bike_1,What is the id of the shortest trip?
121,bike_1,What is the total and maximum duration of trips with bike id 636?
122,bike_1,What is the total and maximum duration for all trips with the bike id 636?
123,bike_1,"For each zip code, return the average mean temperature of August there."
124,bike_1,"For each zip code, what is the average mean temperature for all dates that start with '8'?"
125,bike_1,"From the trip record, find the number of unique bikes."
126,bike_1,How many different bike ids are there?
127,bike_1,What is the number of distinct cities the stations are located at?
128,bike_1,How many different cities have these stations?
129,bike_1,How many stations does Mountain View city has?
130,bike_1,How many stations are in Mountain View?
131,bike_1,Return the unique name for stations that have ever had 7 bikes available.
132,bike_1,What are the different names for each station that has ever had 7 bikes available?
